,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
ADAM10,20.081475498158454,0.009,True,0.8017632573802386,False,1.3027956196864328
ADARB2,11.855483993200522,0.064,False,0.9999710542970703,False,1.0739192884943547
AFG3L2,6.960976082365988,0.409,False,0.9999999999984982,False,0.8426701415449693
AIFM1,5.679815197357897,0.601,False,0.9999999999984982,False,0.7543342054164113
AKAP9,6.175579159902298,0.401,False,0.9999999999984982,False,0.7906776929689504
AMFR,8.596265727471717,0.181,False,0.9999999998799365,False,0.9343098319230535
ANO10,11.627355551206904,0.062,False,0.9999665299023807,False,1.065480952896224
AP2A2,8.258874190124516,0.134,False,0.9999999934710423,False,0.9169208504269711
APEX1,4.812697488605522,0.603,False,0.9999999999984982,False,0.682388564116941
ARID1B,8.551345760992149,0.21,False,0.999999999974275,False,0.932034466842939
ATG5,8.626668330752182,0.14,False,0.9999999969464948,False,0.935843101052474
ATP1A3,12.05562669754508,0.071,False,0.9999889735511035,False,1.0811897915870747
ATP5C1,6.242511712805197,0.457,False,0.9999999999984982,False,0.7953593658895275
ATP5H,5.920201953312471,0.475,False,0.9999999999984982,False,0.7723365218771819
ATP6AP2,8.369078911327051,0.22,False,0.999999999974275,False,0.9226776628032703
ATXN1,6.601091005609362,0.339,False,0.9999999999984982,False,0.819615720171904
ATXN7,12.249343882956765,0.046,True,0.9996157812315726,False,1.0881128270154392
ATXN10,7.716229428147329,0.196,False,0.9999999999529121,False,0.8874051321259507
BAX,6.301225374422984,0.271,False,0.9999999999974942,False,0.799425013199929
BCS1L,11.84456240335993,0.054,False,0.9998887893523588,False,1.0735190203718565
BECN1,10.124971763087132,0.119,False,0.9999999710466079,False,1.0053938207111461
BIN1,6.592891986766801,0.379,False,0.9999999999984982,False,0.8190759606313995
BLMH,6.063906199573836,0.468,False,0.9999999999984982,False,0.7827524747277974
BNIP1,7.581568423293476,0.283,False,0.9999999999974942,False,0.8797590588141331
CALB1,6.939393385701976,0.267,False,0.9999999999974942,False,0.8413215078097851
CASP3,6.296663606083001,0.417,False,0.9999999999984982,False,0.79911049210716
CDC42EP3,12.000768004225137,0.06,False,0.9999556685146153,False,1.0792090401579726
CDH11,4.813612723474478,0.687,False,0.9999999999984982,False,0.6824711464243202
CELF1,7.941936126261055,0.268,False,0.9999999999974942,False,0.8999263898892955
CEP63,6.078366912590866,0.512,False,0.9999999999984982,False,0.7837869121480106
CIC,7.008935311472669,0.326,False,0.9999999999983329,False,0.8456520517084541
CNTNAP2,11.123388765556115,0.056,False,0.9999167402561219,False,1.046237116200802
COASY,6.595436907975113,0.351,False,0.9999999999984982,False,0.8192435702292777
COG4,15.044790644208973,0.018,True,0.9591095537185657,False,1.1773861486930879
COX10,7.8438635276103525,0.211,False,0.999999999974275,False,0.8945300289374402
COX15,15.945538182896826,0.026,True,0.9892318627322336,False,1.202639181836611
CREBBP,8.311327802433937,0.166,False,0.9999999997988944,False,0.9196704114140521
CTSD,8.567986466312846,0.171,False,0.9999999998052977,False,0.9328787718282001
CYB561,22.584313932778684,0.004,True,0.513950034918768,False,1.3538069020820915
CYCS,9.592116339504514,0.122,False,0.9999999793341077,False,0.9819144375322468
