,edist,pvalue,significant,pvalue_adj,significant_adj,log10_edist
ATF2,24.480218585324508,0.0,True,0.0,True,1.3888152913320382
CAV1,44.363229384912216,0.0,True,0.0,True,1.647023152738597
ETV7,11.988869451042433,0.119,False,0.119,False,1.0787782311119205
IFNGR1,130.42762623909832,0.0,True,0.0,True,2.1153695902643803
IRF1,28.24234330013013,0.0,True,0.0,True,1.4509007277939179
IRF7,18.57041272891678,0.01,True,0.029701,True,1.2688215560768394
MARCH8,22.003357271881015,0.01,True,0.029701,True,1.3424889505227653
PDL1,40.974210742461565,0.0,True,0.0,True,1.6125105968125186
STAT2,25.84572014631661,0.0,True,0.0,True,1.412388637537342
control,0.0,0.0,True,0.0,True,-inf
