,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncounts,ncells,significant_adj_new
0,0.004265823704965532_0.004265823704965532,AHR,16.086991019173706,0.0,True,0.0,True,8.043495509586853,0.0,9.0,1,True
1,0.004265823704965532_0.004265823704965532,AHR_FEV,17.92699478604834,0.0,True,0.0,True,8.96349739302417,0.0,4.0,1,True
2,0.004265823704965532_0.004265823704965532,AHR_KLF1,11.597773439291208,0.0,True,0.0,True,5.798886719645604,0.0,25.0,1,True
3,0.004265823704965532_0.004265823704965532,ARID1A,9.850247301997946,0.0,True,0.0,True,4.925123650998973,0.0,19.0,1,True
4,0.004265823704965532_0.004265823704965532,ARRDC3,11.607379956126614,0.0,True,0.0,True,5.803689978063307,0.0,8.0,1,True
5,0.004265823704965532_0.004265823704965532,ATL1,16.46353521078055,0.0,True,0.0,True,8.231767605390274,0.0,11.0,1,True
6,0.004265823704965532_0.004265823704965532,BAK1,13.246955353159937,0.0,True,0.0,True,6.623477676579968,0.0,8.0,1,True (gained)
7,0.004265823704965532_0.004265823704965532,BCL2L11,13.104961831131444,0.0,True,0.0,True,6.552480915565722,0.0,13.0,1,True (gained)
8,0.004265823704965532_0.004265823704965532,BCL2L11_BAK1,16.44519800392727,0.0,True,0.0,True,8.222599001963635,0.0,10.0,1,True (gained)
9,0.004265823704965532_0.004265823704965532,BCL2L11_TGFBR2,10.715060764425942,0.0,True,0.0,True,5.357530382212971,0.0,13.0,1,True (gained)
10,0.004265823704965532_0.004265823704965532,BCORL1,9.216753709710243,0.0,True,0.0,True,4.608376854855122,0.0,31.0,1,True
11,0.004265823704965532_0.004265823704965532,BPGM,13.656619469000463,0.0,True,0.0,True,6.828309734500231,0.0,15.0,1,True
12,0.004265823704965532_0.004265823704965532,BPGM_SAMD1,11.514047468832683,0.0,True,0.0,True,5.757023734416341,0.0,7.0,1,True
13,0.004265823704965532_0.004265823704965532,BPGM_ZBTB1,13.024825976787659,0.0,True,0.0,True,6.512412988393829,0.0,15.0,1,True
14,0.004265823704965532_0.004265823704965532,C3orf72,10.932847276938801,0.0,True,0.0,True,5.466423638469401,0.0,10.0,1,True
15,0.004265823704965532_0.004265823704965532,C3orf72_FOXL2,11.037021690735042,0.0,True,0.0,True,5.518510845367521,0.0,20.0,1,True
16,0.004265823704965532_0.004265823704965532,C19orf26,10.156056132244714,0.0,True,0.0,True,5.078028066122357,0.0,24.0,1,True
17,0.004265823704965532_0.004265823704965532,CBFA2T3,18.6087251406385,0.0,True,0.0,True,9.30436257031925,0.0,4.0,1,True
18,0.004265823704965532_0.004265823704965532,CBL,10.42320502811216,0.0,True,0.0,True,5.21160251405608,0.0,17.0,1,True
19,0.004265823704965532_0.004265823704965532,CBL_CNN1,18.521504126852914,0.0,True,0.0,True,9.260752063426457,0.0,7.0,1,True
20,0.004265823704965532_0.004265823704965532,CBL_PTPN9,12.035502357766726,0.0,True,0.0,True,6.017751178883363,0.0,12.0,1,True
21,0.004265823704965532_0.004265823704965532,CBL_PTPN12,15.78508677173673,0.0,True,0.0,True,7.892543385868365,0.0,7.0,1,True
22,0.004265823704965532_0.004265823704965532,CBL_TGFBR2,12.79091126965029,0.0,True,0.0,True,6.395455634825145,0.0,18.0,1,True
23,0.004265823704965532_0.004265823704965532,CBL_UBASH3A,13.356271720067891,0.0,True,0.0,True,6.6781358600339455,0.0,13.0,1,True
24,0.004265823704965532_0.004265823704965532,CBL_UBASH3B,19.924514991767897,0.0,True,0.0,True,9.962257495883948,0.0,4.0,1,True
25,0.004265823704965532_0.004265823704965532,CDKN1A,8.814565337688004,0.0,True,0.0,True,4.407282668844002,0.0,27.0,1,True
26,0.004265823704965532_0.004265823704965532,CDKN1B,13.311340958476167,0.0,True,0.0,True,6.655670479238084,0.0,19.0,1,True
27,0.004265823704965532_0.004265823704965532,CDKN1B_CDKN1A,10.055728298555206,0.0,True,0.0,True,5.027864149277603,0.0,23.0,1,True
28,0.004265823704965532_0.004265823704965532,CDKN1C,8.240535766302635,0.0,True,0.0,True,4.1202678831513175,0.0,31.0,1,True
29,0.004265823704965532_0.004265823704965532,CDKN1C_CDKN1A,8.597769471865558,0.0,True,0.0,True,4.298884735932779,0.0,17.0,1,True
30,0.004265823704965532_0.004265823704965532,CDKN1C_CDKN1B,13.157046798425506,0.0,True,0.0,True,6.578523399212753,0.0,14.0,1,True
31,0.004265823704965532_0.004265823704965532,CEBPA,12.149255214809667,0.0,True,0.0,True,6.0746276074048335,0.0,19.0,1,True
32,0.004265823704965532_0.004265823704965532,CEBPB,18.615312189206996,0.0,True,0.0,True,9.307656094603498,0.0,7.0,1,True
33,0.004265823704965532_0.004265823704965532,CEBPB_CEBPA,11.676992911605819,0.0,True,0.0,True,5.838496455802909,0.0,16.0,1,True
34,0.004265823704965532_0.004265823704965532,CEBPB_MAPK1,10.503546729576575,0.0,True,0.0,True,5.251773364788288,0.0,19.0,1,True
35,0.004265823704965532_0.004265823704965532,CEBPB_OSR2,15.118717119169753,0.0,True,0.0,True,7.559358559584877,0.0,12.0,1,True
36,0.004265823704965532_0.004265823704965532,CEBPB_PTPN12,14.958556397064582,0.0,True,0.0,True,7.479278198532291,0.0,4.0,1,True
37,0.004265823704965532_0.004265823704965532,CEBPE,17.962632872818958,0.0,True,0.0,True,8.981316436409479,0.0,7.0,1,True
38,0.004265823704965532_0.004265823704965532,CEBPE_CEBPA,13.635711758832016,0.0,True,0.0,True,6.817855879416008,0.0,20.0,1,True
39,0.004265823704965532_0.004265823704965532,CEBPE_CEBPB,18.50405419737102,0.0,True,0.0,True,9.25202709868551,0.0,6.0,1,True
40,0.004265823704965532_0.004265823704965532,CEBPE_CNN1,15.777752579165792,0.0,True,0.0,True,7.888876289582896,0.0,15.0,1,True
41,0.004265823704965532_0.004265823704965532,CEBPE_KLF1,11.772790570293564,0.0,True,0.0,True,5.886395285146782,0.0,22.0,1,True
42,0.004265823704965532_0.004265823704965532,CEBPE_PTPN12,17.32956903134352,0.0,True,0.0,True,8.66478451567176,0.0,10.0,1,True
43,0.004265823704965532_0.004265823704965532,CEBPE_RUNX1T1,17.996550993799218,0.0,True,0.0,True,8.998275496899609,0.0,7.0,1,True
44,0.004265823704965532_0.004265823704965532,CEBPE_SPI1,14.31289950762323,0.0,True,0.0,True,7.156449753811615,0.0,5.0,1,True
45,0.004265823704965532_0.004265823704965532,CELF2,11.647489113092043,0.0,True,0.0,True,5.823744556546021,0.0,27.0,1,True
46,0.004265823704965532_0.004265823704965532,CITED1,14.365910545777414,0.0,True,0.0,True,7.182955272888707,0.0,11.0,1,True
47,0.004265823704965532_0.004265823704965532,CKS1B,9.68493230969635,0.0,True,0.0,True,4.842466154848175,0.0,10.0,1,True
48,0.004265823704965532_0.004265823704965532,CLDN6,13.637658159462354,0.0,True,0.0,True,6.818829079731177,0.0,8.0,1,True
49,0.004265823704965532_0.004265823704965532,CNN1,18.301589997712142,0.0,True,0.0,True,9.150794998856071,0.0,11.0,1,True
50,0.004265823704965532_0.004265823704965532,CNN1_MAPK1,20.366370905788834,0.0,True,0.0,True,10.183185452894417,0.0,5.0,1,True
51,0.004265823704965532_0.004265823704965532,CNN1_UBASH3A,15.412668491643489,0.0,True,0.0,True,7.706334245821744,0.0,9.0,1,True
52,0.004265823704965532_0.004265823704965532,CNNM4,15.043808381173472,0.0,True,0.0,True,7.521904190586736,0.0,14.0,1,True
53,0.004265823704965532_0.004265823704965532,COL1A1,11.775184468495423,0.0,True,0.0,True,5.887592234247712,0.0,21.0,1,True
