,63(mod)_pBA580,Gal4-4(mod)_pBA582,IER3IP1_pDS002,SEC61B_pDS033,ASCC3_pDS052,DNAJC19_pDS026,HSPA9_pDS088,HSPA5_pDS017,YIPF5_pDS186,SAMM50_pDS156,TARS_pDS405,XRN1_pDS411,GBF1_pDS043,TIMM23_pDS284,DAD1_pDS499,SEC61A1_pDS032,AMIGO3_pDS434,SRPRB_pDS404,SRP68_pDS403,UFM1_pDS040,TELO2_pDS496,FECH_pDS494,MRPL39_pDS498,IARS2_pDS091,SCYL1_pDS160,DARS_pDS495,IDH3A_pDS393,DERL2_pDS042,SEC63_pDS218,TTI2_pDS408,SYVN1_pDS442,SEC61G_pDS440,SPCS3_pDS402,OST4_pDS353,ATP5B_pDS055,SLMO2_pDS433,FARSB_pDS390,TMED10_pDS036,PSMD4_pDS488,EIF2B4_pDS491,SLC35B1_pDS046,EIF2B2_pDS463,ASCC3_pDS051,DDRGK1_pDS041,GMPPB_pDS391,SLC39A7_pDS219,SRPR_pDS482,TIMM44_pDS430,SPCS2_pDS401,UFL1_pDS410,PDIA6_pDS029,IER3IP1_pDS110,YIPF5_pDS226,MRGBP_pDS124,SCYL1_pDS159,P4HB_pDS397,MANF_pDS027,PTDSS1_pDS478,TTI1_pDS407,DNAJC19_pDS074,MARS_pDS394,SRP72_pDS505,MTHFD1_pDS395,EIF2S1_pDS386,DHDDS_pDS383,NEDD8_pDS396,TMED2_pDS175,GNPNAT1_pDS506,CARS_pDS460,STT3A_pDS011,HYOU1_pDS089,ARHGAP22_pDS458,SEC61B_pDS162,CHERP_pDS024,SARS_pDS467,TMEM167A_pDS038,KCTD16_pDS096,SEC61A1_pDS031,SOCS1_pDS479,AARS_pDS381,SEL1L_pDS373,IARS2_pDS090,EIF2B3_pDS508,HSD17B12_pDS087,DDOST_pDS382,CCND3_pDS006,QARS_pDS510,HARS_pDS466,ATF4_pBA608,HSPA5_pDS371,COPZ1_pDS462,CAD_pDS468,PPWD1_pDS398,COPB1_pDS065,GBF1_pDS044,EIF2AK3_pBA572,*
63(mod)_pBA580,0.0,0.09132792634065781,0.09291464183730745,0.0955112127729603,0.08466401530978512,0.04707240326053976,0.033497479866460164,0.05702816902688623,0.08745443369445771,0.0594373287597593,0.06664528067029071,0.08629526859202835,0.07299279709917196,0.06719720306105005,0.09433909225789829,0.053375589724230184,0.07950646964635932,0.08709868349683932,0.08603404125125394,0.08366813725559659,0.07721904480728065,0.06855143245517789,0.07539297538556917,0.03933780209586806,0.09573441455645494,0.08190707049947225,0.08463859190484344,0.08074115906627433,0.09331513892300797,0.0805435513252479,0.09383196878605664,0.06563018969250732,0.07532734291545885,0.07117369915481138,0.07164877888988795,0.055005598372212305,0.061132556218005916,0.09137481959533045,0.06859005327066968,0.06433808763192238,0.08927984075424236,0.05945579493818028,0.08712844750224148,0.1019494607170863,0.09013896374885602,0.07680514309693852,0.09289142554920593,0.060607655021377785,0.09358408095172915,0.10707237390278738,0.09414783800887432,0.08153619066017372,0.09745270221444159,0.09080588911685514,0.07929389393315281,0.09120619263308913,0.08524432217891911,0.07665600900323438,0.08335921218798577,0.058931133388823664,0.06721199214616724,0.09792766872486762,0.09090463357467568,0.0367633524387492,0.059834312143880734,0.06886439876311264,0.09512938756180839,0.09843059225107771,0.03501113317234585,0.09266492495431909,0.10028777159056852,0.09223755798599897,0.08619374694693221,0.0867277315434428,0.04552194784242538,0.0838847473650338,0.08204031828462591,0.05409143643845159,0.07992902338787256,0.04614468914109556,0.08947053467341265,0.05127383036210844,0.04360660406136605,0.0775026416888007,0.07614093617542345,0.08648001068740484,0.040102241919482355,0.04813059509106492,0.0837573083016231,0.04640654747230888,0.05449904774745709,0.06358464812164485,0.073804479793655,0.05756782543122976,0.04793937771418379,0.07240194691151214,0.08105402270543027
Gal4-4(mod)_pBA582,0.09132792634065781,0.0,0.10603251018304558,0.09419743733480482,0.09955600613568738,0.05364833382417798,0.038041974069379876,0.0628437332095963,0.08143053205274292,0.07159227892838188,0.07451214031185319,0.0826698187787527,0.07869368261261545,0.06956109943735765,0.08338941097018761,0.05095194529387299,0.07798794782239131,0.09062067745232952,0.08424209802372497,0.0931242990237086,0.07019010023093315,0.07542543518613594,0.07918904817727734,0.044169138241347855,0.0808419072049117,0.07403631740819192,0.07408861931039526,0.08944460881896722,0.08805648564737072,0.07481240477553204,0.07915200587899528,0.07865910137934885,0.08443495912449549,0.09668983456542159,0.0707883328636898,0.06002042507510118,0.07598818514407495,0.08495579581312253,0.07538079582362331,0.06806713517910667,0.08360518337425853,0.07308886954193734,0.09326682089750535,0.08642836049567293,0.08715566952507592,0.09102712276837041,0.07932041848223402,0.05773731024612141,0.09363015881999598,0.0974124546858666,0.08451583767624914,0.07145913221804408,0.0785799973949691,0.0755137843892268,0.07481707951014753,0.08399861925165256,0.08251203749059477,0.09130377023549134,0.09122961552684729,0.06385639191780516,0.07313763904979623,0.08622926880731678,0.07876949260195629,0.037822676226539065,0.054957308871409316,0.0789241883981449,0.09246466462115202,0.08502039689890303,0.03804713988053487,0.0763462832380043,0.09475119584165163,0.09233194480085605,0.08867069873671377,0.09092322841526448,0.05146020426264332,0.07308419969115384,0.08854481401752032,0.05176249206871717,0.08442155968759046,0.044911903445372874,0.08967373890851355,0.058677471306405084,0.04970521835523671,0.08345526364993834,0.0654167950300641,0.0783835180587771,0.037196632485174685,0.054635330846505716,0.07771204438146115,0.061033039775054164,0.05890151464750338,0.08031920050698123,0.07834366889182963,0.06775094180241416,0.04486688258095873,0.07060066191771724,0.08830369208969388
IER3IP1_pDS002,0.09291464183730745,0.10603251018304558,0.0,0.10566301261250613,0.12525501429718816,0.06079377771680267,0.046067192897969386,0.06852343950229044,0.10803272722924724,0.0840761253989142,0.07908335749281191,0.10537070915683792,0.07989757935855807,0.1119041144664973,0.10300900455884454,0.07290041920273309,0.08236450915820537,0.08789742172081443,0.09393995157434404,0.09466652125559133,0.07069153789517672,0.09230340318633046,0.10099561774552619,0.05577897417024817,0.08199264680991294,0.10154898534081876,0.1071118596656847,0.12346518312176516,0.09094000629210135,0.0993151586517384,0.09120921399192021,0.06327569846453668,0.09237949442038697,0.09876576706792935,0.09415274687972248,0.07814250617581239,0.09499168817953066,0.10932856095466367,0.08400615918120652,0.0744766695587206,0.07734178604477772,0.08491822743081424,0.10637169535474532,0.0927040838056399,0.09661112500610891,0.09665841106096437,0.09694103467048397,0.07504295768115685,0.10858703152833167,0.11203755636886763,0.09782572386258058,0.08988614913628272,0.1066065542416301,0.07883395637242571,0.08453708828771223,0.10037417000523292,0.08655949438674704,0.08373440367411077,0.08897067392918899,0.09209122652613459,0.09965741382719268,0.09248991581246871,0.1083889143748842,0.048271172840626715,0.07259812553402312,0.09992950718493007,0.0861398421280874,0.11609096890344515,0.04265172771057428,0.10715723094788764,0.09621810884434934,0.09180707593993259,0.11061774083625776,0.0991617075625303,0.06084665383057516,0.11062032420747352,0.09867871796189254,0.06532222796010238,0.08481238862513538,0.058035174630622785,0.11532802297256144,0.06923635510176034,0.0644907650633801,0.08159385943454191,0.09254647301237945,0.08943987764005573,0.054029311498080275,0.06502061785996727,0.10314504818806759,0.060171712154305584,0.06783368866627944,0.10337146168223683,0.09697752738632709,0.0732420543235443,0.06087358673629137,0.08235333676413041,0.09135585121568919
SEC61B_pDS033,0.0955112127729603,0.09419743733480482,0.10566301261250613,0.0,0.09838557783286186,0.05743545058787357,0.040962758783331735,0.058806054370593754,0.08669604710752873,0.07066134287906456,0.07711665782061065,0.07260359559947022,0.0792857494903688,0.08398540800124178,0.09567177015342723,0.05615676858679792,0.08900063917959433,0.08631017431082147,0.07757798538379763,0.08944484896173535,0.0609226304425933,0.07569753333793196,0.0915296206646333,0.04837719654888493,0.0801949631359138,0.09095080867568754,0.07717625522887336,0.10798868666047653,0.07324297382658822,0.07878385739527373,0.08563946674858483,0.06539410115379736,0.0893627504670334,0.0984389552485837,0.07721987202253634,0.0697874543219567,0.07868414317494059,0.10512512312506192,0.08001503116177457,0.07332879247375373,0.09123310862985705,0.07808978964691306,0.10409042162442421,0.09608818972091523,0.1014636138708,0.08817775823015846,0.08335181440796059,0.06694819429777454,0.09831762288866869,0.09945083622298617,0.07869380438286593,0.08681236499748646,0.08380506467765397,0.09017868376862069,0.07256770478943458,0.08127996708235331,0.07880924372088194,0.07862208532606331,0.09218636853369125,0.0693013886247035,0.07873914835814785,0.08336633228081687,0.0908477249127537,0.03800934452693086,0.060285624295807284,0.08562876248679825,0.08215819859388516,0.10574546027305995,0.03654720872195326,0.0888867977672938,0.08708364019351632,0.0797950117072772,0.09505628202413577,0.08175766579518261,0.04689451980764404,0.08118440947487783,0.0879711098097463,0.05568234788752362,0.06976549858742348,0.05349081819707027,0.08203795058254432,0.06473592516596513,0.05538788705605505,0.0852473010100596,0.07360100083649804,0.09230813998002052,0.04530146816308564,0.05046743212443831,0.0769446943755115,0.06234771262925802,0.06106981306592822,0.08455803790023737,0.08025023894687439,0.06140422677576244,0.053588152368950495,0.07821651629865521,0.09756863065239613
ASCC3_pDS052,0.08466401530978512,0.09955600613568738,0.12525501429718816,0.09838557783286186,0.0,0.06044254217307643,0.044979651736485084,0.062304817431414014,0.1031643939107406,0.08912623240768512,0.08803385398016617,0.08357341249221786,0.09587473100165081,0.10253767084618133,0.10793227885880703,0.06401986450413812,0.0845171397356175,0.09647691742754398,0.09062028964537103,0.08686617154457979,0.058828363009475894,0.08813597685555323,0.0992680639318992,0.05669278796114948,0.0904323723492025,0.10255422514047377,0.08399334501832599,0.0967587016733341,0.08180663601950859,0.08576468657056979,0.08771381103105161,0.0755435212856925,0.09175514758432389,0.09826476270235804,0.08886347751362655,0.07479604868039405,0.08532281915550124,0.08950428631358347,0.08073767264009914,0.09467800390619685,0.08444199440579088,0.08534497140278652,0.10854634085832468,0.08214573638082627,0.09689452143364204,0.0954126641017584,0.08913847397199673,0.07301733900991429,0.10946189361260046,0.09772635281133893,0.0948278826517517,0.08981162255900374,0.10010928693575333,0.08873516026569717,0.08428022641009092,0.08846499347358201,0.07126127121006896,0.09514637194210443,0.0942113332141248,0.08349022278425396,0.07955985143357465,0.09039752516117686,0.11495260318336427,0.042451620343751655,0.07134959185980305,0.09309222140657777,0.08440074893818818,0.09702945937893671,0.04430675754492732,0.10188739548113793,0.09591175499526694,0.08412397289208312,0.09244412486132395,0.10634527130001477,0.05519087783252631,0.10623767207355117,0.10078477309581285,0.06649778515928452,0.078542967492784,0.055617235258613576,0.09403240544353944,0.06838177274709735,0.06365408567915104,0.09834350883765111,0.07973297166542379,0.08836344213689117,0.04916393346792945,0.06203205332623334,0.08326554199856973,0.05896361919817306,0.07233760401862571,0.09062030237514816,0.0968568911667704,0.06956929670367279,0.064000507865822,0.0779292882112507,0.09136849753819554
DNAJC19_pDS026,0.04707240326053976,0.05364833382417798,0.06079377771680267,0.05743545058787357,0.06044254217307643,0.0,0.043413243030486014,0.0720657876597687,0.06405370841533552,0.07531048534087081,0.0625300705039918,0.056035419574161235,0.05851506670338956,0.06396423656010446,0.06249979981879912,0.07511940176248973,0.0560273510391105,0.05456656393598246,0.05779900966697688,0.051720063973980004,0.05541030652013267,0.05937390748002981,0.058461497304663095,0.04802865095583865,0.0766428399626076,0.06495699759681552,0.06631238667973205,0.07384685230724591,0.04711727602161592,0.06506409257395504,0.05033174537367827,0.06937295946285778,0.06636569002973511,0.05838425829026929,0.07134296779472321,0.07273253587690735,0.07480889328763143,0.062393481315717286,0.044753321499217416,0.08195019550686962,0.059338447569222554,0.07160625671317844,0.06040059174236118,0.04963216612226831,0.056867720150381995,0.06795486505177728,0.057876193976078585,0.08025622425574644,0.06438884046367765,0.05362453774182297,0.06223176771887002,0.07148414539890209,0.07025854928187532,0.050923495664621565,0.055510634077781326,0.046778715657254256,0.059671996126746216,0.06260575363079174,0.05766485548785639,0.0866332386184434,0.06945862316320194,0.05125472681272672,0.06796406609805,0.042627382623012196,0.06422521949245454,0.06349100155568688,0.057676402828697716,0.056252954890876006,0.04099662550927275,0.06202840337544653,0.05302250578817956,0.06414083748921327,0.052463363675629274,0.0614498395353355,0.06328235094501533,0.06058656388568572,0.06747242409156695,0.07700037288607232,0.062324443243752484,0.056479038976934064,0.059714005298891454,0.06371135202488937,0.05845656000825945,0.07422295071199399,0.05940297798198895,0.0484181025097169,0.05097645249768368,0.06668562738117051,0.0502832328672648,0.060501543175526626,0.07928481005913811,0.051101081764070855,0.07509527454045019,0.07036890915715985,0.06340067367845517,0.07501264255543923,0.0629391837732085
HSPA9_pDS088,0.033497479866460164,0.038041974069379876,0.046067192897969386,0.040962758783331735,0.044979651736485084,0.043413243030486014,0.0,0.043540708112542806,0.03968954100865952,0.04924576467077023,0.05103973950245064,0.03853513656307275,0.04080283631449641,0.047344147557499716,0.047318212741292456,0.052519684605366955,0.049005681177827276,0.04074576030970954,0.03773936687759029,0.03791864099574235,0.04644346657032723,0.04301390871105305,0.04426728017564292,0.04592574518938306,0.04504394331709373,0.04924956720401436,0.044407874680710904,0.05145936986180112,0.03903216405414525,0.04278762541873207,0.041223391125778976,0.04970255170683264,0.052399331999585394,0.03766434335159204,0.05197138225491119,0.0431857171738013,0.04838048400065139,0.04788743187251443,0.03465377257579384,0.04860518674987803,0.04371482316794596,0.04228048721465877,0.03700212368519763,0.043385846076693185,0.043195005890084334,0.05403623245498942,0.04129815099336621,0.05049663671277205,0.0463102712728135,0.03650113643919595,0.04651440713842143,0.045844991040064495,0.043586220471870836,0.03758768462374029,0.04185263364250363,0.042640239966115774,0.04060489511847494,0.03821816217161985,0.044584500728135135,0.04874744162315912,0.04633493737784161,0.040319830577185675,0.054001789276533006,0.04176866935324655,0.045247886549603766,0.042416751203256,0.044044974579771884,0.041986217356764256,0.04351842043728213,0.042103624376154544,0.039996502433654824,0.04058324260003174,0.04052840300945182,0.04039751938295315,0.04768814018171107,0.044847858677788746,0.04495838939111597,0.05144326221442147,0.048740575101036736,0.04373437677749352,0.0406213353530618,0.049400474539622784,0.040778452664143844,0.04830996965988779,0.045057122768756994,0.03478956280069045,0.04495782591771214,0.049091206305791765,0.040648957526246435,0.039916515554286595,0.05508083558996618,0.03518586757396438,0.046806143462173364,0.05101015541780099,0.052710732833935334,0.04533575176635694,0.04227000165573104
HSPA5_pDS017,0.05702816902688623,0.0628437332095963,0.06852343950229044,0.058806054370593754,0.062304817431414014,0.0720657876597687,0.043540708112542806,0.0,0.06448514419752521,0.07647169389024616,0.0731225601968089,0.05997542467656964,0.0669693781311426,0.0687967635969407,0.05833472762862141,0.06606269301337148,0.06246049965811921,0.057381495903718514,0.07003804449755648,0.06015690107649958,0.04870871373245213,0.06891734390997652,0.06152351355068104,0.051990837588606786,0.06566577342230696,0.078672090044902,0.06103761278122281,0.07583351716439574,0.055363354808044316,0.059645574032495076,0.056687073351751154,0.05083877821991134,0.07408049263085252,0.05237648810956062,0.05869328642376315,0.06446161590988866,0.0653090663394628,0.06025462496575874,0.04915233875482922,0.06499065005665326,0.047704617849568295,0.06409276741175973,0.0595247443312946,0.05844484838094554,0.06457940151842895,0.07284689883636167,0.060688915079094116,0.07186805577202598,0.06793166585882633,0.059037592510194706,0.06796468918857011,0.07714291258713761,0.06245051342750851,0.05470905309104397,0.05649241556988322,0.05058154087657609,0.05363397831051668,0.05659534700491595,0.06606205859316673,0.07222020883963215,0.07016717351448039,0.05516774565516992,0.0641532878134119,0.04357530691595941,0.06148908267732238,0.0620885524765209,0.0615998794334229,0.05725974190666879,0.04094923322810272,0.058551671377169406,0.05737704921944975,0.07770129392242756,0.06347436770183837,0.06381928001162715,0.06372683062449817,0.06769213227978481,0.06248929437182239,0.07016101630676005,0.0601009625383494,0.057982270704611504,0.056374964416943354,0.07339897615462462,0.05519137094855846,0.05787331657163986,0.0614197760382333,0.059280291137525594,0.05144774795978581,0.053193623569952095,0.056332498499962975,0.06512508442086233,0.07412097347619359,0.049990264489709765,0.0726840554772938,0.07412871066830566,0.05216997725495699,0.0611073053921481,0.06899698631782483
YIPF5_pDS186,0.08745443369445771,0.08143053205274292,0.10803272722924724,0.08669604710752873,0.1031643939107406,0.06405370841533552,0.03968954100865952,0.06448514419752521,0.0,0.08604260861094656,0.08038588873558311,0.07511751883695093,0.07503481345657649,0.09474874476969064,0.09901718115635523,0.06580214045035152,0.08431673370975856,0.09575687595286353,0.09595664631206444,0.09303499601590273,0.06871133812112847,0.08387730356247262,0.09269819112543451,0.05208224771257417,0.10132084815973358,0.07944813639548422,0.07674254122406549,0.10641178042673394,0.0883674383989958,0.08908392751784397,0.09688977910684207,0.08111064926031006,0.08328436162927152,0.07887076025729539,0.09104654649402771,0.06012237477385543,0.07044126612576573,0.09406059302438421,0.0737360214034633,0.0765406078115224,0.09765373069406491,0.07997121040587832,0.09737191894435393,0.10164428858902089,0.10160170837437918,0.09215669566630004,0.0917239143066291,0.06264767716606719,0.09941593176174239,0.09481806158388192,0.09741226022245457,0.10107760475566269,0.09359874622819161,0.09294368729356856,0.08245010473241712,0.09253141716118525,0.07489866114486082,0.09744925162307834,0.08467921955928541,0.07347430930122212,0.08239106251271769,0.08905764217463495,0.08598176178768548,0.04300590713603386,0.06987875175535815,0.07748904092974954,0.09735570903117652,0.09206124152448954,0.03843562461350478,0.09504251273014697,0.08474587780070857,0.08340978053290149,0.11013057925443348,0.08267698842856094,0.053889462671768654,0.09393198458839366,0.08764538317266725,0.05772339420685961,0.08283031623806021,0.0535909316079949,0.0942433893022075,0.0734312974917717,0.04820604424500566,0.08441987284952748,0.0786696739421812,0.07711401067513902,0.04527290103011093,0.05167733463850269,0.09478674148122872,0.05898049746996504,0.060827567162366696,0.08556870558442778,0.09821847669449761,0.0697040450567365,0.05791216903499685,0.07136445397580986,0.08172800792833751
SAMM50_pDS156,0.0594373287597593,0.07159227892838188,0.0840761253989142,0.07066134287906456,0.08912623240768512,0.07531048534087081,0.04924576467077023,0.07647169389024616,0.08604260861094656,0.0,0.08612941105341501,0.07074833531511897,0.06435659720033711,0.09361501106559587,0.09287522215409875,0.08244673331264092,0.07507895786166256,0.07356210483388233,0.07730968911910566,0.06429911600819868,0.07231610987843384,0.08313087235239494,0.07887194160194456,0.0525877109318795,0.08255989701272663,0.10047587313900679,0.09332257603210559,0.10446626572393357,0.07083872770137856,0.0792953458596592,0.059462727337200004,0.07562497588693806,0.07701599032792374,0.06794879638542056,0.09820608581508272,0.08359257382221733,0.0994830458485477,0.07660890636205656,0.06309997535940366,0.08794464800015496,0.08473195137854113,0.10199600503941565,0.07903902416426913,0.07938689030869368,0.07238511333563274,0.09841463157838583,0.06990195028886059,0.08902294785106127,0.08664750107663023,0.06506126383018825,0.07515105929725277,0.0942505565935148,0.08349449974709931,0.06364393661604834,0.07342403174253935,0.05808219249685227,0.06397404894061132,0.07311419805408435,0.08266678695076099,0.10723200772644352,0.10627651432034649,0.07387923505031188,0.09748268265973863,0.05171109900342343,0.094421622661921,0.09324654216066866,0.06287044909780588,0.0769115324893082,0.048734054685248426,0.06890545381736422,0.07166164021270974,0.08103401205746769,0.06556532011964755,0.08447256437760287,0.0643521459648344,0.08751520916791654,0.06718338196792496,0.08327628573523875,0.08165580536720349,0.0682442572445735,0.07656466131690794,0.06854952769721954,0.06634839030148174,0.0889415409810741,0.07705409451421523,0.05921722135194832,0.05575274882077091,0.07141857062303883,0.0651500447446524,0.058088224258103664,0.0797106697136986,0.07495263725960527,0.09300903311638434,0.08027102638130178,0.0680640695054476,0.08120950021589203,0.07595767553851074
