perturbation,IFNGR2g3,IFNGR2g4,IFNGR1g4,IFNGR2g1,STAT1g3,STAT1g2,STAT1g1,JAK2g2,JAK2g1,JAK2g4,JAK2g3,IFNGR1g2,IFNGR2g2,IFNGR1g3,IFNGR1g1,CD86g4,STAT5Ag2,POU2F2g3,UBE2L6g1,STAT2g2,TNFRSF14g2,CAV1g3,STAT3g2,UBE2L6g4,STAT3g1,ATF2g1,IRF1g2,CUL3g1,CAV1g4,STAT2g4,UBE2L6g2,CMTM6g3,STAT2g3,CD86g1,PDCD1LG2g1,CMTM6g2,PDCD1LG2g4,MARCH8g1,CAV1g1,POU2F2g1,control,BRD4g4,BRD4g1,IRF7g1,POU2F2g2,STAT5Ag4,IRF7g2,CUL3g2,ETV7g3,ATF2g2,ATF2g3,NFKBIAg2,STAT5Ag1,STAT3g4,PDCD1LG2g2,MARCH8g4,TNFRSF14g1,STAT5Ag3,ETV7g4,BRD4g3,PDCD1LG2g3,ETV7g1,ETV7g2,STAT3g3,IRF7g4,MARCH8g3,CD86g3,ATF2g4,TNFRSF14g3,CAV1g2,CMTM6g1,MARCH8g2,CD86g2,STAT2g1,NFKBIAg1,SMAD4g3,SMAD4g2,SMAD4g1,SMAD4g4,IRF7g3,IRF1g1,NFKBIAg3,IRF1g4,IRF1g3
IFNGR2g3,1.0,0.7020271220748516,0.5284206188539708,0.4476238913278712,0.551150695018829,0.6310815819773455,0.7219227134303137,0.6717969537734687,0.6822521587299226,0.5781757400149775,0.48219545471790903,0.2263525071944873,0.3689634574535658,0.352106253127887,0.36062969813351364,-0.09454378256447582,-0.1592749197758718,-0.1517125139652177,-0.16177639935861554,-0.18008156048914103,-0.05297882427013078,-0.22348917479134098,-0.14577263909204047,-0.28437677526102234,-0.35990546611171925,-0.27815570774397735,-0.2961625818644528,-0.25706365497826683,-0.37453502720239257,-0.4372376383429996,-0.21098309440617025,-0.39064718068666765,-0.21111122608585894,-0.17526354839113334,-0.18346037747913993,-0.3051916292217702,-0.37253273995716185,-0.3715847687087827,-0.4677944665066482,-0.4415844703519168,-0.49851050999768376,-0.5546541764384418,-0.5073068833227652,-0.36751621642059834,-0.3960784274691621,-0.3379126423977109,-0.3031775990146307,-0.3660532518796104,-0.41001762584868995,-0.21032555707730824,-0.16140387476783746,-0.28578470322365324,-0.19318990092738303,-0.05869799170855075,-0.208069845258838,0.010110155643715911,-0.0388364280731973,-0.044427194593465086,-0.1980840969418967,0.043108209625245204,-0.19556835069083903,-0.0035745015129527743,-0.03224328083149029,-0.03644013606346156,0.0017858500431254677,0.12586406797908967,0.11524269020035852,0.0985535397708436,0.13351261860872068,0.14231462999541122,0.268844603673619,0.050426471035636154,0.1537829891639938,0.31453841801521787,-0.1648940131299073,0.012800038770328558,0.2762833948771952,0.08147177340753713,0.19415390993586654,0.11785561092542522,-0.08645071009640554,0.11506118760300121,0.10688595859906845,0.14957014325478946
IFNGR2g4,0.7020271220748516,1.0,0.4978105862071237,0.47780164393186936,0.5079372262202183,0.5080108877419677,0.554514859836035,0.6446832950810468,0.7469128883182797,0.38325761009953935,0.46890703583787885,0.23250817953987588,0.34954810070205045,0.25480364389156496,0.4062469763855322,-0.13688095730089317,-0.20069361821878934,-0.025789098004876276,-0.14783530154903965,-0.23632940462011245,-0.15319311877519456,-0.14199077225619872,-0.24042583330758582,-0.3222112273439042,-0.27105915794590313,-0.2442461293065502,-0.09467532489509525,-0.14379767395713872,-0.33210267339585914,-0.3376644573791224,-0.127347956358105,-0.34906462302131497,-0.37762934323622116,-0.21261068506845612,-0.36428818464554763,-0.3504603815086645,-0.2471454557972972,-0.3499263287287922,-0.5185775557820225,-0.3912671948627968,-0.49606777983361766,-0.594630018490325,-0.4468186400126503,-0.39223177049903263,-0.4376723996781747,-0.2766168342714966,-0.32461831993507473,-0.32287504210460705,-0.2369785319938052,-0.09223755516959384,-0.05150453534499692,-0.1519908229045706,-0.07136429719617152,0.023442863438089656,-0.2105012327475617,-0.03685687737708558,-0.10160816716174216,-0.016205411349494412,-0.1554858502010345,-0.11516637414541586,-0.2342280853069755,-0.09012038498554323,0.0015448651634860154,-0.1602926220759637,-0.20405433970159245,-0.022211542144792016,0.08346105557000755,-0.04233489356493734,0.015860589751451923,0.0824972765850093,0.06284368932057251,0.07906349327996375,0.05430540568798728,0.10612569881631777,-0.06656312990436168,0.06063333801635856,0.3684873872858702,0.16206342736694948,0.1962820952111577,0.24166637830561405,-0.05409803264203297,0.29461528971182255,0.2548914009632345,0.21452742605920705
IFNGR1g4,0.5284206188539708,0.4978105862071237,1.0,0.507898441962934,0.5769773009155658,0.5835375564459224,0.5369073083426639,0.6092605102464926,0.6219255393751086,0.4714439121638627,0.42759711490886915,0.20764161126041492,0.33056809518440733,0.3378991758045865,0.43289164286783155,-0.07415821810882738,0.04127673562234111,-0.12232575743835931,-0.07443080620373674,-0.28024554816932057,-0.15985708341645352,0.012398829367455436,-0.13169528354268362,-0.25219633563438526,-0.1196592032119141,-0.09499750357047457,-0.022323027034697757,-0.23562357687827867,-0.2959336434660442,-0.2870832032567125,-0.16428185962528424,-0.4184291718395861,-0.36325707409276214,-0.25440634650941246,-0.21291584691691862,-0.235832450171107,-0.37329898594691485,-0.26792610967401964,-0.4107032595935776,-0.3085283426669502,-0.35077473376028256,-0.43181480146975165,-0.37095970414711454,-0.27228989396364744,-0.39764512695025334,-0.21016287038030645,-0.38533265362691116,-0.3499952148785013,-0.2395961399680872,-0.05749185112078384,-0.17608357160263266,-0.14599622188658926,-0.003002012753556274,0.07457143811767132,-0.028557665557839305,-0.1061780903516046,-0.18871581893278672,-0.17021918813473963,-0.2708585828348267,-0.10128736545175009,-0.1668109201523701,-0.11419092966278009,-0.08679333198174334,-0.13552612671610853,-0.04123964590053811,-0.01930962279556928,0.0032714686272360756,0.0018913689620959158,-0.01459168848106604,-0.2319863578559042,0.22705008728952772,0.026416521456411032,0.01153346073085067,0.07818013930256304,0.050006510406119635,0.012672164008762659,0.16064525101379665,0.0007802571794788764,0.0056499280716681664,-0.09124783339843602,0.014635426409766861,-0.043204981064914987,0.23979461704559152,0.16135377690850744
IFNGR2g1,0.4476238913278712,0.47780164393186936,0.507898441962934,1.0,0.5559596525542377,0.5975939009497023,0.5730614523120389,0.6297686221245384,0.6831868538899796,0.5812318696942798,0.606368700396294,0.3892391978900378,0.37921980919288967,0.41219993856722903,0.4603329135235387,-0.2477760348838421,-0.13713786141687764,-0.07076015985187852,-0.28621850256494097,-0.198764196529275,-0.15703820604865387,-0.25789767532763236,-0.15748808219539945,-0.34017313255780796,-0.09276507215621169,-0.22091557626543107,-0.24842882260106394,-0.1922620925625313,-0.2439465456295163,-0.2800716489423188,-0.17627296797764638,-0.14505530813273088,-0.27157502089333446,-0.2623813782793538,-0.18706607392781868,-0.300877373583225,-0.30693105514153446,-0.24886141990647168,-0.3638340878933167,-0.26985701784586646,-0.2932836505844284,-0.33592171662957077,-0.3616137388741963,-0.2087874379715677,-0.2890933748860861,-0.19954848802757946,-0.3051538607696643,-0.31313453698535676,-0.2088295249132944,-0.10741617823553487,-0.16040331163716526,-0.2332040008617574,-0.25799077926052305,0.025259421594936625,-0.16240664407318828,-0.19471306018433251,-0.19681340961670582,-0.08460297881375013,-0.39777381753737795,-0.2714900712691233,-0.10268311026501566,-0.151374426307744,-0.05778861717851805,-0.09549061931305888,0.06829969652192835,-0.07981553015276555,-0.045297835899434,0.08057031514674697,-0.06131808790289627,-0.004625970960716711,-0.016309050946235908,-0.01254611992796086,-0.15085514616112608,0.21616040418192198,-0.10815897504067076,-0.00903981613013768,0.08588633793237546,0.07589102528407288,-0.029290036666132006,-0.0184770133059836,-0.0068459035208535595,0.016289033046458613,0.12588488035195622,0.0765771937484174
STAT1g3,0.551150695018829,0.5079372262202183,0.5769773009155658,0.5559596525542377,1.0,0.6621378795442041,0.675587983799924,0.6675589130538264,0.5803764101952068,0.45495600828324567,0.5238173597235136,0.31051323904293576,0.36172229050418875,0.3778689544042242,0.5734261071291884,-0.03281808782858643,-0.08331713341836715,-0.0521844796433285,-0.26076635614318083,-0.15237639538411138,-0.2332082501807921,-0.1420385484632287,-0.31748651082545615,-0.31756667794687937,-0.23129393173286047,-0.09933347653749362,-0.16391296545992043,-0.18112610551350683,-0.30708425542966256,-0.1492708092565748,-0.2756592061977461,-0.16554549360236626,-0.2674086815193339,-0.34074688837119127,-0.27719321346399367,-0.24352573563803553,-0.2838081920595192,-0.23768184147887364,-0.39550919237440796,-0.3128349905446512,-0.3317207588483911,-0.3829432435927022,-0.3015510078541767,-0.33073890969222247,-0.31088089201504837,-0.286238486597816,-0.28673893108804466,-0.3030951402365082,-0.2324090250858032,-0.23385725587153985,-0.21327414156826524,-0.17409611079016524,-0.1490815496915149,-0.11396665262757094,-0.2014885418493784,-0.046110780190849375,-0.21992657636412263,-0.15745531177919941,-0.3162939565563065,-0.042479848251612086,-0.22009510621618875,-0.17195331552581233,-0.13337136444844847,-0.13111349689419638,-0.12742591630457129,0.006256110499689566,0.004081723034422985,0.02472086164748429,-0.03598148299028944,-0.07130691729127478,-0.049135689522910427,0.1053995990118067,-0.07057185599048503,0.21965768293814322,-0.027839572229583387,-0.03174467370780084,0.12980336002794665,0.07560527318992727,-0.015406827520206225,-0.057516231651595404,0.10301301468438116,0.07006577143055914,0.032015799510854225,0.09183161829394397
STAT1g2,0.6310815819773455,0.5080108877419677,0.5835375564459224,0.5975939009497023,0.6621378795442041,1.0,0.6871737353059829,0.6506670296743144,0.6819018344695778,0.5560324127646807,0.5392468991785134,0.3750084958277548,0.36745763930368824,0.3774387349100548,0.43068320557531825,-0.08358378949913388,-0.1496679985629666,-0.17707914730548857,-0.14792715028127665,-0.09850607647578992,-0.18573018930573928,-0.3529283023458533,-0.28285368003416655,-0.2749049920844866,-0.27416884489377563,-0.1550340517077724,-0.1843752660716069,-0.2166068584403955,-0.24471941097708186,-0.08308719177635229,-0.2889537068820826,-0.23254644243760753,-0.25490281415671323,-0.4005707032099974,-0.26021445340317906,-0.3279528978534388,-0.4211170442061082,-0.3502955972608996,-0.4692590371484528,-0.3383657626350981,-0.38239811894763753,-0.4536177645320275,-0.3719213438198097,-0.2370477861914567,-0.3029139466787753,-0.252165722973217,-0.2657996520732718,-0.2983665823742326,-0.2133331657548573,-0.19183974033957765,-0.23741034312614726,-0.18081614453315484,-0.08466189536812324,-0.03380145379625988,-0.2922613257505515,-0.12999205677203338,-0.18997698504699792,-0.18084130788387437,-0.39355265657245897,-0.24180594837973465,-0.1436003416312904,-0.2382543651982618,-0.06902140717245304,-0.15563201322961384,-0.007586138525409721,0.008300367240886165,0.04876802965885163,-0.061820278094196074,-0.023571170769527864,-0.03513634300035493,-0.02097629433278648,-0.036507530006500054,-0.15385027033041612,0.22532248473472435,-0.15800696930940678,0.022278122414332212,0.25755184203942777,0.08621117411446755,0.19124410807700845,0.0638355717903074,0.0030294030403246633,0.04037746161337966,0.15816971358687895,0.1666975935874165
STAT1g1,0.7219227134303137,0.554514859836035,0.5369073083426639,0.5730614523120389,0.675587983799924,0.6871737353059829,1.0,0.703720380840502,0.7197490268173381,0.6262513764934955,0.6404040451867314,0.17040950457819704,0.36028229142206597,0.3873445425134329,0.49940370962439373,-0.2001457922850632,-0.18981982910004383,-0.1423518067427114,-0.251288136260986,-0.16289302908357547,-0.0992143386400309,-0.19310182592137673,-0.31996270726610365,-0.2601538264428628,-0.2312967498320283,-0.16765518705432905,-0.276245072067908,-0.2512474995056938,-0.2993536746395638,-0.18523715254047354,-0.3360272915927543,-0.1962018239982546,-0.3037053416214138,-0.2540639929956388,-0.3250699719030659,-0.21867593197821567,-0.3831973867280913,-0.3520672602319649,-0.37941241935578635,-0.3743464867810891,-0.2940553095972674,-0.3681220981190731,-0.29909441672865533,-0.3596649782962393,-0.3466011137697756,-0.29298067484906626,-0.3032486795587741,-0.37634639510910595,-0.3376716133507875,-0.1515818939640464,-0.17371350385396309,-0.23522640163680128,-0.18324803770604128,0.004487848842784889,-0.11596006082653411,-0.017715600140781815,-0.1733186166762461,-0.3028780719063654,-0.343757132222353,-0.22985979527012812,-0.12294394974505081,-0.07287325933803969,-0.08679018550678637,-0.06658190830369716,-0.04619589509872394,0.028462660459590058,-0.014630361341852244,0.022000763829673923,-0.128453041120906,-0.052070874991285356,-0.011197243394349377,-0.024389314274796806,-0.0912752268693689,0.2595008484263075,-0.17204971448228024,0.00842659323144328,0.18589728774911785,0.02778577062871014,-0.01608053572763276,0.11841263623886787,0.043239774865365815,0.022119649424596644,0.10055805420171203,0.07996095732099388
JAK2g2,0.6717969537734687,0.6446832950810468,0.6092605102464926,0.6297686221245384,0.6675589130538264,0.6506670296743144,0.703720380840502,1.0,0.8014751281034842,0.5814938441960051,0.6554237016473986,0.41968879998501585,0.4479407516699236,0.43069723139447413,0.5322277890936236,-0.0642191902815674,-0.16795642245031386,-0.07017559452927138,-0.19113757600189624,-0.15884299765740065,-0.08430164867685158,-0.11261393686716792,-0.31357139193201217,-0.34012248324611577,-0.3033344825364636,-0.12100878880937206,-0.20792366958486527,-0.14971745102852163,-0.4794967537165031,-0.31263767825989547,-0.2488421723098049,-0.23031035175199263,-0.293558400041107,-0.3866619657598977,-0.26528939321560047,-0.2905103694381711,-0.4092964809974491,-0.29546163141982584,-0.4267757831801409,-0.3980840717348565,-0.3907918973392343,-0.5169421196166315,-0.419324094012372,-0.26639976763389195,-0.3843560738782758,-0.2713178935572797,-0.22710207336309393,-0.2928610921786397,-0.2941753716071589,-0.11164568801862146,-0.15515889733568672,-0.2855028569407807,-0.23615454141039954,-0.08093362045009797,-0.15584169346474994,-0.1337836939921,-0.1993844703843541,-0.1865104245476998,-0.3966631644638648,-0.33118983199711866,-0.03246423045205186,-0.22443926423427304,-0.1381944281235671,-0.037825286428749855,0.07417020177969741,-0.014460459491995063,0.05139503606083652,-0.06087225597733782,0.03049907049822182,-0.08645381135821309,-0.004749642426343991,-0.0013534598779169737,0.004445168621269673,0.21884501574313087,-0.2846917408153142,-0.08683453858510815,0.13605945699270933,0.0160244745382935,0.008591907761923312,-0.005901270486670105,-0.08692746017577885,0.027663557256797193,0.1313558094966442,0.18517552154634329
JAK2g1,0.6822521587299226,0.7469128883182797,0.6219255393751086,0.6831868538899796,0.5803764101952068,0.6819018344695778,0.7197490268173381,0.8014751281034842,1.0,0.5718735199633965,0.5786211632692458,0.2461210101894133,0.4498904810588313,0.39616627131937265,0.5831754425799718,-0.1998533808574791,-0.13475935947798456,-0.08095849184724162,-0.20908472943869127,-0.06680996753678047,-0.17645143071158137,-0.19730920221094664,-0.18551387048514914,-0.38132310349743714,-0.19257405244448353,-0.1648625745031645,-0.2201910222632456,-0.21305208748595894,-0.4147556453872607,-0.3121462544836013,-0.28788196076627987,-0.24660089700104856,-0.32480897930374614,-0.33279410068644544,-0.30715110843128823,-0.36357194156043066,-0.4447480292222007,-0.31130567591705094,-0.5106221676027517,-0.4516880487581703,-0.42177218960234814,-0.5560352038454129,-0.47941670876949005,-0.29867339853613073,-0.3325064474309436,-0.26280525237135943,-0.32666554948871285,-0.2853224945743633,-0.3392570505215062,-0.1392112064847008,-0.1959348542901368,-0.10946222074915118,-0.1382757158634001,-0.07216036651734012,-0.18432553950840228,0.020797738320594308,-0.16566335470557242,-0.1660528815643594,-0.3311909147340456,-0.30103188733260045,-0.05702245846495213,-0.11056190817528752,-0.08963665529319695,-0.20946522022004868,-0.08503247810545879,-0.03175120724140571,0.03842127820916865,-0.04372896200751436,0.02077986303023618,-0.08500053250880328,0.045587789189971445,-0.03871438066983711,0.005166140335697268,0.22535742954037769,-0.22735307266745838,-0.020576421532807795,0.24077929711712687,0.04629068708384802,0.0751822959379647,0.1232415365925309,-0.08140871269798734,0.12128890237042182,0.18047163171847358,0.13662140967685588
JAK2g4,0.5781757400149775,0.38325761009953935,0.4714439121638627,0.5812318696942798,0.45495600828324567,0.5560324127646807,0.6262513764934955,0.5814938441960051,0.5718735199633965,1.0,0.6645787967137394,0.3548790860361489,0.5069809149518562,0.4452177652835361,0.5753796995151025,-0.281029726898254,-0.22655362916665256,-0.27990021138436827,-0.09309174376221348,-0.03870480692104696,-0.10546787390290449,-0.18463494720675008,-0.10258910765182434,-0.21975613366937677,-0.26656124080388927,-0.20118079384787374,-0.23124273791098685,-0.15959268494499795,-0.2775542670213924,-0.2732755959158486,-0.1974447927419928,-0.20146956781715736,-0.21347949805738817,-0.25034345452857776,-0.20002982965912736,-0.1907926634499933,-0.16111445573149935,-0.10274078814080116,-0.16502759467601294,-0.29089059763496494,-0.2861334575481197,-0.2194002483686945,-0.24708324989679106,-0.1005797429644991,-0.2687602160420526,-0.20789728988785328,-0.2204981873401807,-0.3281026569725266,-0.27355568801040603,-0.12027128305230468,-0.23404313173026206,-0.28274702126555723,-0.2364343062085582,-0.1984682063270143,-0.2288566813525898,-0.2074815939101126,-0.15287585443334173,-0.19710991143764398,-0.26454999848281374,-0.2116808038975551,-0.06714588937948801,-0.11527459542607554,-0.17311951612403287,-0.06777571324263686,-0.014125826112143192,-0.026237870553616087,-0.052873953249143096,-0.11632360465889247,-0.06155315799982878,-0.13305296077374693,0.053051111724179895,-0.018883154509031545,-0.10278038877306205,0.13526290027606708,-0.25850277766086677,-0.14809827670406867,0.0196675578777155,-0.033306039652061185,-0.007756629332987935,-0.034566090880298585,-0.1230913091819942,-0.11803991252845274,0.01946528699934573,0.05864790343117744
