,n,perturbation,edist,pvalue,significant,pvalue_adj,significant_adj,delta,sigma,ncounts,ncells,significant_adj_new
0,0.010178558119067316_0.010178558119067316,AHR,20.270919934065482,0.0,True,0.0,True,10.135459967032741,0.0,26.0,1,True
1,0.010178558119067316_0.010178558119067316,AHR_FEV,22.309104014433572,0.0,True,0.0,True,11.154552007216786,0.0,24.0,1,True
2,0.010178558119067316_0.010178558119067316,AHR_KLF1,15.961995046200357,0.0,True,0.0,True,7.980997523100179,0.0,66.0,1,True
3,0.010178558119067316_0.010178558119067316,ARID1A,33.5844513675296,0.0,True,0.0,True,16.7922256837648,0.0,8.0,1,True
4,0.010178558119067316_0.010178558119067316,ARRDC3,26.13806035792146,0.0,True,0.0,True,13.06903017896073,0.0,19.0,1,True
5,0.010178558119067316_0.010178558119067316,ATL1,18.565855446404207,0.0,True,0.0,True,9.282927723202103,0.0,28.0,1,True
6,0.010178558119067316_0.010178558119067316,BAK1,17.545844529693994,0.0,True,0.0,True,8.772922264846997,0.0,42.0,1,True
7,0.010178558119067316_0.010178558119067316,BCL2L11,12.977995475212797,0.0,True,0.0,True,6.4889977376063985,0.0,63.0,1,True
8,0.010178558119067316_0.010178558119067316,BCL2L11_BAK1,31.718798660470142,0.0,True,0.0,True,15.859399330235071,0.0,22.0,1,True
9,0.010178558119067316_0.010178558119067316,BCL2L11_TGFBR2,16.960444923416404,0.0,True,0.0,True,8.480222461708202,0.0,45.0,1,True
10,0.010178558119067316_0.010178558119067316,BCORL1,23.35819315172262,0.0,True,0.0,True,11.67909657586131,0.0,29.0,1,True
11,0.010178558119067316_0.010178558119067316,BPGM,18.18337391939846,0.0,True,0.0,True,9.09168695969923,0.0,32.0,1,True
12,0.010178558119067316_0.010178558119067316,BPGM_SAMD1,17.827752233000652,0.0,True,0.0,True,8.913876116500326,0.0,54.0,1,True
13,0.010178558119067316_0.010178558119067316,BPGM_ZBTB1,13.241059324234804,0.0,True,0.0,True,6.620529662117402,0.0,49.0,1,True
14,0.010178558119067316_0.010178558119067316,C3orf72,12.065930771662627,0.0,True,0.0,True,6.0329653858313135,0.0,47.0,1,True
15,0.010178558119067316_0.010178558119067316,C3orf72_FOXL2,28.99228906759891,0.0,True,0.0,True,14.496144533799455,0.0,15.0,1,True
16,0.010178558119067316_0.010178558119067316,C19orf26,11.503732953948836,0.0,True,0.0,True,5.751866476974418,0.0,53.0,1,True
17,0.010178558119067316_0.010178558119067316,CBFA2T3,20.852254770452078,0.0,True,0.0,True,10.426127385226039,0.0,31.0,1,True
